"id_text","id_reply","moral","focusPolo","reply","polo_reply","conversation"
"1081555625228800000","1081574257224806400","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1000794193164427264","1000806844573601794",,"valore prescrittivo",,"valore proibitivo","stesso argomento"
"1001508026291978240","1001865913430355968","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1001552556538191872","1001554095486971904","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1002420400675016704","1002422522816749568","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo",
"1002572714106908673","1002598116170829824","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1003348175942496256","1003373218936377344","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1004615489157566464","1004620611375849472","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1005855205156642816","1005890999611207680","purity/degradation","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1005910523999858688","1005916136398049280","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1006169484032389121","1006177123432849408","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1006272788842340353","1006277449309741056","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1006654141823881216","1006658407628189702","fairness/cheating","valore proibitivo",,,"stesso argomento"
"1006766127018659840","1006768979619270658","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1008292278761377792","1008367547740295168","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1008735213680234496","1008737568719024131","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1008773966897602564","1008793559481356288","fairness/cheating","valore proibitivo","loyalty/betrayal","valore proibitivo","stesso argomento"
"1009181579011387392","1009197113979363328",,"valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1009370502845132800","1009380484319719425","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1009429492648087552","1009869461829111809","fairness/cheating","valore proibitivo","nessuna morale/off-topic",,"stesso argomento"
"1009737598011609088","1010212392750452736","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1010169379168882690","1010172621923803136","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1010860836443783168","1010862120534269952","nessuna morale/off-topic",,"nessuna morale/off-topic",,"attacca"
"1010912053991788544","1010958300115013632","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1011354992727461888","1011435397388427266","nessuna morale/off-topic",,"authority/subversion","valore prescrittivo","stesso argomento"
"1011485469752905729","1011503733627334656","nessuna morale/off-topic",,"loyalty/betrayal","valore proibitivo","stesso argomento"
"1011522426054889472","1012614508135755776","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1015229282505895936","1015234051010170882","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1015236182807072768","1015248783544897537","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1015260365742014465","1015279420335116288","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1015999196284051462","1016006360021000192","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1017039835360571393","1017105102342148097","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1017775388431396864","1017785667856814083","authority/subversion","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1018549323951493123","1018553435640061952","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","attacca"
"1021729244194525189","1021810669434425344","nessuna morale/off-topic",,"nessuna morale/off-topic",,"nessuna"
"1023212553386815488","1023255260809388033","purity/degradation","valore proibitivo","nessuna morale/off-topic",,"supporta"
"1023248456561946624","1023323252238757888",,,"purity/degradation","valore proibitivo","attacca"
"1024344479266955264","1024346854027350016","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1024646881585049601","1024728398797725698","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1025447286384545792","1025553167650570241","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1026365612103229440","1026392928850243585","care/harm","valore proibitivo","purity/degradation","valore proibitivo","supporta"
"1026484762725294085","1026487001808293888","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1026716214297604096","1109416053308907522","purity/degradation","valore proibitivo",,"valore proibitivo","supporta"
"1027469824346079237","1027477305319464960","nessuna morale/off-topic",,"loyalty/betrayal","valore proibitivo","stesso argomento"
"1027484056190152704","1027484649373790208","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1028317520896434177","1028323889649274882","purity/degradation","valore proibitivo","care/harm","valore proibitivo",
"1028901302460399616","1029022395896614913","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1029832193655406596","1029985903488499712","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","attacca"
"1030797998647914501","1030798967670493184","nessuna morale/off-topic",,,,"supporta"
